Date,Aircraft,Flight,Departure,Arrival,APU_Oil_Temperature_Max,Load_Compressor_Inlet_Temperature,,,Compensated,,,Ulaanbaatar_temp,Incheon_temp,Dubai_temp,Danang_temp
2025-07-05 11:22,HL8002,KAL407,RKSI,YBBN,104,38,,,88.4,,,,,,
2025-07-05 10:57,HL8003,KAL195,RKSI,ZMCK,105,38,,,89.4,,,,,,
2025-07-05 7:39,HL7585,KAL671,RKSI,WMKK,95,28,,,91.4,,,,,,
2025-07-05 7:16,HL7720,KAL633,RKSI,WADD,107,29,,,102.2,,,,,,
2025-07-05 5:36,HL8027,KAL951,RKSI,OMDB,99,36,,,85.8,,,,,,
2025-07-05 5:31,HL7709,KAL1348,RKPC,RKSS,100,35,,,,,,,,,
2025-07-05 5:12,HL8002,KAL766,RJCC,RKSI,108,40,,,,,,,,,
2025-07-05 4:55,HL7710,KAL198,ZMCK,RKSI,99,33,,,,,,,,,
2025-07-05 2:36,HL7584,KAL1188,RKPC,RKSS,101,33,,,,,,,,,
2025-07-05 1:28,HL7586,KAL1174,RKPC,RKSS,102,38,,,,,,,,,
2025-07-05 1:10,HL8002,KAL765,RKSI,RJCC,108,39,,,91.2,,,,,,
2025-07-05 0:59,HL8026,KAL657,RKSI,VTBS,101,37,,,86.6,,,,,,
2025-07-05 0:50,HL7587,KAL811,RKSI,ZLXY,97,28,,,93.4,,,,,,
2025-07-05 0:22,HL8025,----------,----,----,90,26,,,,,,,,,
2025-07-05 0:00,HL7701,KAL865,RKSI,ZGGG,97,26,,,95.8,,,,,,
2025-07-04 23:50,HL7702,KAL827,RKSI,ZGSZ,99,31,,,91.8,,,,,,
2025-07-04 23:35,HL7554,KAL648,WSSS,RKSI,105,41,,,,,,,,,
2025-07-04 22:58,HL8003,KAL408,YBBN,RKSI,89,25,,,,,,,,,
2025-07-04 17:14,HL8027,KAL952,OMDB,RKSI,105,43,,,,,,,,,
2025-07-04 14:53,HL8002,KAL658,VTBS,RKSI,110,43,,,,,,,,,
2025-07-04 13:58,HL8026,KAL696,VNKT,RKSI,100,33,,,,,,,,,
2025-07-04 11:25,HL8003,KAL407,RKSI,YBBN,103,38,,,87.4,,,,,,
2025-07-04 10:15,HL7584,KAL1312,RKPC,RKSS,99,33,,,,,,,,,
2025-07-04 5:07,HL7701,KAL866,ZGGG,RKSI,108,34,,,,,,,,,
2025-07-04 5:05,HL8026,KAL695,RKSI,VNKT,99,36,,,85.8,,,,,,
2025-07-04 4:57,HL8003,KAL828,ZGSZ,RKSI,111,46,,,,,,,,,
2025-07-04 3:43,HL7587,KAL806,ZBTJ,RKSI,101,32,,,,,,,,,
2025-07-04 2:35,HL7709,KAL1188,RKPC,RKSS,99,34,,,,,,,,,
2025-07-04 1:48,HL7720,KAL137,RKSI,ZHHH,104,28,,,100.4,,,,,,
2025-07-04 1:29,HL7584,KAL1174,RKPC,RKSS,100,32,,,,,,,,,
2025-07-04 0:47,HL8002,KAL657,RKSI,VTBS,104,37,,,89.6,,,,,,
2025-07-04 0:20,HL7586,KAL1150,RKPC,RKSS,100,36,,,,,,,,,
2025-07-04 0:01,HL8003,KAL827,RKSI,ZGSZ,105,38,,,89.4,,,,,,
2025-07-03 23:43,HL7702,KAL648,WSSS,RKSI,99,35,,,,,,,,,
2025-07-03 17:00,HL8026,KAL952,OMDB,RKSI,106,44,,,,,,,,,
2025-07-03 16:15,HL7710,KAL634,WADD,RKSI,99,35,,,,,,,,,
2025-07-03 14:50,HL8002,KAL658,VTBS,RKSI,107,42,,,,,,,,,
2025-07-03 14:40,HL8003,KAL498,VIDP,RKSI,111,49,,,,,,,,,
2025-07-03 9:12,HL7587,KAL485,RKSI,VVPQ,96,28,,,92.4,,,,,,
2025-07-03 5:48,HL8003,KAL497,RKSI,VIDP,106,41,,,86.8,,,,,,
2025-07-03 5:36,HL7709,KAL1348,RKPC,RKSS,97,32,,,,,,,,,
2025-07-03 5:27,HL8026,KAL951,RKSI,OMDB,102,38,,,86.4,,,,,,
2025-07-03 2:42,HL7586,KAL1188,RKPC,RKSS,102,35,,,,,,,,,
2025-07-03 1:48,HL8026,KAL846,ZSQD,RKSI,104,41,,,,,,,,,
2025-07-03 1:36,HL7584,KAL1174,RKPC,RKSS,99,32,,,,,,,,,
2025-07-03 1:12,HL7702,KAL811,RKSI,ZLXY,96,31,,,88.8,,,,,,
2025-07-02 23:53,HL7701,KAL827,RKSI,ZGSZ,96,24,,,97.2,,,,,,
2025-07-02 23:50,HL7720,KAL648,WSSS,RKSI,104,30,,,,,,,,,
2025-07-02 23:04,HL7710,KAL131,RKSI,ZHCC,97,35,,,85,,,,,,
2025-07-02 23:03,HL8027,KAL408,YBBN,RKSI,86,23,,,,,,,,,
